"id_cheptel","id_commune","id_volume","ra_3010_dim2_mod","ra_3010_dim3_mod","n118_mod","n027_mod","valeur","volume"
48,13,1,12,1,0.12,40,73,153399
49,13,1,1,1,0,40,979,153399
50,13,1,1,1,0.11,40,294,153399
1,14,1,1,1,0,40,742,153399
2,14,1,1,1,0.11,40,376,153399
3,14,1,1,1,0.12,40,366,153399
4,14,1,2,1,0,40,475,153399
5,14,1,2,1,0.11,40,241,153399
6,14,1,2,1,0.12,40,234,153399
7,14,1,4,1,0,40,475,153399
8,14,1,4,1,0.11,40,241,153399
9,14,1,4,1,0.12,40,234,153399
10,14,1,5,1,0,40,42,153399
11,14,1,5,1,0.11,40,32,153399
12,14,1,5,1,0.12,40,10,153399
13,14,1,6,1,0,40,225,153399
14,14,1,6,1,0.11,40,103,153399
15,14,1,6,1,0.12,40,122,153399
16,14,1,7,1,0,40,78,153399
17,14,1,7,1,0.11,40,56,153399
18,14,1,7,1,0.12,40,22,153399
